samp_country,category,fermented_food_type,sample_id,absolute-filepath
Laos,fermented fish,Crab_simmered ,MS003-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-3/86c409ce-c166-4dde-ae64-4770385e0057.fasta
Laos,fermented fish,Crab_simmered ,MS003-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-3/52b8051d-cd14-4648-bc4d-89f838ac67ca.fasta
Laos,fermented fish,Crab_simmered ,MS003-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-3/453c264e-6b51-4445-a486-291c81d76f5c.fasta
Laos,fermented fish,Crab_simmered ,MS003-3,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-3/d473575b-0626-4847-9f72-c3e95ea3c58d.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/94acc643-d062-4281-9783-a7540c4e47bb.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/0b548fc0-bf60-47d9-b715-e9d6952a008d.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/69384dd0-1236-455f-b1ff-27daa118f276.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/427a5173-50d1-41de-88e0-9d58aa5129bd.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/70ee9264-b5ac-4db9-a366-53b7f232d2c5.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/e89f3512-8626-4bf6-97b4-ee184b5efedb.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/ca9a5848-448f-4a31-a1f6-fdea24f03727.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/63bb471f-4b78-4339-8340-6f60e56d09ad.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/74425e94-76eb-4a52-bee5-3c202e1b36c2.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/ea7e28a2-0269-462f-8e2d-0ee9a1811fec.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/9f0be3c8-6a2f-40d3-a152-9059aec666a5.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/5a006e63-5f7e-4b3e-b9cd-36fd024548ec.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/0a441826-8c29-42e6-b77f-118b2cffdb28.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/bd4f63b0-0322-4bc8-bc09-80e756b6234e.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/9b80f1bc-56c5-42de-887c-2e1bf7791775.fasta
Laos,fermented vegetables,Fermented_bamboo,MS005-1,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS005-1/ba237edf-b40d-4382-928c-3721f93ff3da.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/ea49f0c6-7091-49aa-a93c-9649fe4e4d6c.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/befa87ae-637c-4585-89af-063f207444ee.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/04283de1-f4c3-4899-963a-eadbb9a948d1.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/85f9194f-4a0d-46c3-ac8e-94cbc223c17e.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/8b2f3d08-fd3b-477a-8a13-6740224f54e4.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/696163ee-f11f-4ecb-ae64-90c7693c458a.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/a5be24a0-bc61-45f4-a25d-143aa0b6edf0.fasta
